"card","num_exact","proportion","cluster"
"Bear",0,0,"Cluster_1"
"Bear",1,0.0143884892086331,"Cluster_1"
"Bear",2,0.323381294964029,"Cluster_1"
"Bear",3,0.445503597122302,"Cluster_1"
"Bear",4,0.176978417266187,"Cluster_1"
"Bear",5,0.037589928057554,"Cluster_1"
"Bear",6,0.00179856115107914,"Cluster_1"
"Bear",7,0.000359712230215827,"Cluster_1"
"Bee",0,0.0553956834532374,"Cluster_1"
"Bee",1,0.318165467625899,"Cluster_1"
"Bee",2,0.389748201438849,"Cluster_1"
"Bee",3,0.185251798561151,"Cluster_1"
"Bee",4,0.0433453237410072,"Cluster_1"
"Bee",5,0.00719424460431655,"Cluster_1"
"Bee",6,0.000719424460431655,"Cluster_1"
"Bee",7,0.000179856115107914,"Cluster_1"
"Meadow",0,0.0156474820143885,"Cluster_1"
"Meadow",1,0.111870503597122,"Cluster_1"
"Meadow",2,0.260251798561151,"Cluster_1"
"Meadow",3,0.337410071942446,"Cluster_1"
"Meadow",4,0.213669064748201,"Cluster_1"
"Meadow",5,0.0505395683453237,"Cluster_1"
"Meadow",6,0.00989208633093525,"Cluster_1"
"Meadow",7,0.000719424460431655,"Cluster_1"
"Trout",0,0.014568345323741,"Cluster_1"
"Trout",1,0.231654676258993,"Cluster_1"
"Trout",2,0.433453237410072,"Cluster_1"
"Trout",3,0.240107913669065,"Cluster_1"
"Trout",4,0.0699640287769784,"Cluster_1"
"Trout",5,0.00881294964028777,"Cluster_1"
"Trout",6,0.00143884892086331,"Cluster_1"
"Trout",7,0,"Cluster_1"
"Eagle",0,0.367805755395683,"Cluster_1"
"Eagle",1,0.427697841726619,"Cluster_1"
"Eagle",2,0.164568345323741,"Cluster_1"
"Eagle",3,0.0359712230215827,"Cluster_1"
"Eagle",4,0.00287769784172662,"Cluster_1"
"Eagle",5,0.00107913669064748,"Cluster_1"
"Eagle",6,0,"Cluster_1"
"Eagle",7,0,"Cluster_1"
"Rabbit",0,0.405035971223022,"Cluster_1"
"Rabbit",1,0.443165467625899,"Cluster_1"
"Rabbit",2,0.134532374100719,"Cluster_1"
"Rabbit",3,0.016726618705036,"Cluster_1"
"Rabbit",4,0.000539568345323741,"Cluster_1"
"Rabbit",5,0,"Cluster_1"
"Rabbit",6,0,"Cluster_1"
"Rabbit",7,0,"Cluster_1"
"Dragonfly",0,0.268884892086331,"Cluster_1"
"Dragonfly",1,0.442446043165468,"Cluster_1"
"Dragonfly",2,0.227877697841727,"Cluster_1"
"Dragonfly",3,0.0535971223021583,"Cluster_1"
"Dragonfly",4,0.00665467625899281,"Cluster_1"
"Dragonfly",5,0.000539568345323741,"Cluster_1"
"Dragonfly",6,0,"Cluster_1"
"Dragonfly",7,0,"Cluster_1"
"Fox",0,0.112589928057554,"Cluster_1"
"Fox",1,0.346762589928058,"Cluster_1"
"Fox",2,0.320143884892086,"Cluster_1"
"Fox",3,0.168525179856115,"Cluster_1"
"Fox",4,0.0402877697841727,"Cluster_1"
"Fox",5,0.0106115107913669,"Cluster_1"
"Fox",6,0.000899280575539568,"Cluster_1"
"Fox",7,0.000179856115107914,"Cluster_1"
"Deer",0,0.12158273381295,"Cluster_1"
"Deer",1,0.394964028776978,"Cluster_1"
"Deer",2,0.32410071942446,"Cluster_1"
"Deer",3,0.129856115107914,"Cluster_1"
"Deer",4,0.0253597122302158,"Cluster_1"
"Deer",5,0.00377697841726619,"Cluster_1"
"Deer",6,0.000359712230215827,"Cluster_1"
"Deer",7,0,"Cluster_1"
"Stream",0,0.0266187050359712,"Cluster_1"
"Stream",1,0.154676258992806,"Cluster_1"
"Stream",2,0.296402877697842,"Cluster_1"
"Stream",3,0.296942446043165,"Cluster_1"
"Stream",4,0.16636690647482,"Cluster_1"
"Stream",5,0.0492805755395683,"Cluster_1"
"Stream",6,0.00953237410071942,"Cluster_1"
"Stream",7,0.000179856115107914,"Cluster_1"
"Wolf",0,0.137410071942446,"Cluster_1"
"Wolf",1,0.333453237410072,"Cluster_1"
"Wolf",2,0.322122302158273,"Cluster_1"
"Wolf",3,0.164928057553957,"Cluster_1"
"Wolf",4,0.0381294964028777,"Cluster_1"
"Wolf",5,0.00377697841726619,"Cluster_1"
"Wolf",6,0.000179856115107914,"Cluster_1"
"Wolf",7,0,"Cluster_1"
"Bear",0,0.178349875930521,"Cluster_2"
"Bear",1,0.41113523573201,"Cluster_2"
"Bear",2,0.307071960297767,"Cluster_2"
"Bear",3,0.0911910669975186,"Cluster_2"
"Bear",4,0.0116315136476427,"Cluster_2"
"Bear",5,0.000620347394540943,"Cluster_2"
"Bear",6,0,"Cluster_2"
"Bear",7,0,"Cluster_2"
"Bee",0,0.247983870967742,"Cluster_2"
"Bee",1,0.46386476426799,"Cluster_2"
"Bee",2,0.228598014888337,"Cluster_2"
"Bee",3,0.0536600496277916,"Cluster_2"
"Bee",4,0.00527295285359802,"Cluster_2"
"Bee",5,0.000620347394540943,"Cluster_2"
"Bee",6,0,"Cluster_2"
"Bee",7,0,"Cluster_2"
"Meadow",0,0.0342741935483871,"Cluster_2"
"Meadow",1,0.148263027295285,"Cluster_2"
"Meadow",2,0.284119106699752,"Cluster_2"
"Meadow",3,0.299782878411911,"Cluster_2"
"Meadow",4,0.165477667493797,"Cluster_2"
"Meadow",5,0.0555210918114144,"Cluster_2"
"Meadow",6,0.0114764267990074,"Cluster_2"
"Meadow",7,0.00108560794044665,"Cluster_2"
"Trout",0,0.0770781637717122,"Cluster_2"
"Trout",1,0.443703473945409,"Cluster_2"
"Trout",2,0.353908188585608,"Cluster_2"
"Trout",3,0.108870967741935,"Cluster_2"
"Trout",4,0.0151985111662531,"Cluster_2"
"Trout",5,0.00124069478908189,"Cluster_2"
"Trout",6,0,"Cluster_2"
"Trout",7,0,"Cluster_2"
"Eagle",0,0.36848635235732,"Cluster_2"
"Eagle",1,0.431761786600496,"Cluster_2"
"Eagle",2,0.167803970223325,"Cluster_2"
"Eagle",3,0.0285359801488834,"Cluster_2"
"Eagle",4,0.00294665012406948,"Cluster_2"
"Eagle",5,0.000310173697270471,"Cluster_2"
"Eagle",6,0.000155086848635236,"Cluster_2"
"Eagle",7,0,"Cluster_2"
"Rabbit",0,0.367245657568238,"Cluster_2"
"Rabbit",1,0.450682382133995,"Cluster_2"
"Rabbit",2,0.163461538461538,"Cluster_2"
"Rabbit",3,0.0178349875930521,"Cluster_2"
"Rabbit",4,0.000775434243176179,"Cluster_2"
"Rabbit",5,0,"Cluster_2"
"Rabbit",6,0,"Cluster_2"
"Rabbit",7,0,"Cluster_2"
"Dragonfly",0,0.0043424317617866,"Cluster_2"
"Dragonfly",1,0.201147642679901,"Cluster_2"
"Dragonfly",2,0.421526054590571,"Cluster_2"
"Dragonfly",3,0.264888337468983,"Cluster_2"
"Dragonfly",4,0.0911910669975186,"Cluster_2"
"Dragonfly",5,0.0151985111662531,"Cluster_2"
"Dragonfly",6,0.00170595533498759,"Cluster_2"
"Dragonfly",7,0,"Cluster_2"
"Fox",0,0.168734491315136,"Cluster_2"
"Fox",1,0.385390818858561,"Cluster_2"
"Fox",2,0.29295905707196,"Cluster_2"
"Fox",3,0.12174317617866,"Cluster_2"
"Fox",4,0.0280707196029777,"Cluster_2"
"Fox",5,0.00310173697270471,"Cluster_2"
"Fox",6,0,"Cluster_2"
"Fox",7,0,"Cluster_2"
"Deer",0,0.133839950372208,"Cluster_2"
"Deer",1,0.397332506203474,"Cluster_2"
"Deer",2,0.320099255583127,"Cluster_2"
"Deer",3,0.119727047146402,"Cluster_2"
"Deer",4,0.0251240694789082,"Cluster_2"
"Deer",5,0.00372208436724566,"Cluster_2"
"Deer",6,0.000155086848635236,"Cluster_2"
"Deer",7,0,"Cluster_2"
"Stream",0,0,"Cluster_2"
"Stream",1,0,"Cluster_2"
"Stream",2,0.000310173697270471,"Cluster_2"
"Stream",3,0.0611042183622829,"Cluster_2"
"Stream",4,0.268610421836228,"Cluster_2"
"Stream",5,0.329249379652605,"Cluster_2"
"Stream",6,0.214485111662531,"Cluster_2"
"Stream",7,0.126240694789082,"Cluster_2"
"Wolf",0,0.204559553349876,"Cluster_2"
"Wolf",1,0.41764888337469,"Cluster_2"
"Wolf",2,0.283498759305211,"Cluster_2"
