"card","num_exact","proportion","cluster"
"Bear",0,0,"Cluster_1"
"Bear",1,0.0327160493827161,"Cluster_1"
"Bear",2,0.342592592592593,"Cluster_1"
"Bear",3,0.418312757201646,"Cluster_1"
"Bear",4,0.168106995884774,"Cluster_1"
"Bear",5,0.0368312757201646,"Cluster_1"
"Bear",6,0.00123456790123457,"Cluster_1"
"Bear",7,0.000205761316872428,"Cluster_1"
"Bee",0,0.0775720164609053,"Cluster_1"
"Bee",1,0.331687242798354,"Cluster_1"
"Bee",2,0.368106995884774,"Cluster_1"
"Bee",3,0.173251028806584,"Cluster_1"
"Bee",4,0.0409465020576132,"Cluster_1"
"Bee",5,0.00761316872427984,"Cluster_1"
"Bee",6,0.000617283950617284,"Cluster_1"
"Bee",7,0.000205761316872428,"Cluster_1"
"Meadow",0,0.0207818930041152,"Cluster_1"
"Meadow",1,0.119135802469136,"Cluster_1"
"Meadow",2,0.244855967078189,"Cluster_1"
"Meadow",3,0.303292181069959,"Cluster_1"
"Meadow",4,0.204320987654321,"Cluster_1"
"Meadow",5,0.0878600823045267,"Cluster_1"
"Meadow",6,0.0160493827160494,"Cluster_1"
"Meadow",7,0.0037037037037037,"Cluster_1"
"Trout",0,0.0286008230452675,"Cluster_1"
"Trout",1,0.256584362139918,"Cluster_1"
"Trout",2,0.39238683127572,"Cluster_1"
"Trout",3,0.22962962962963,"Cluster_1"
"Trout",4,0.0790123456790123,"Cluster_1"
"Trout",5,0.0123456790123457,"Cluster_1"
"Trout",6,0.001440329218107,"Cluster_1"
"Trout",7,0,"Cluster_1"
"Eagle",0,0.359259259259259,"Cluster_1"
"Eagle",1,0.414609053497942,"Cluster_1"
"Eagle",2,0.180041152263374,"Cluster_1"
"Eagle",3,0.0415637860082304,"Cluster_1"
"Eagle",4,0.00432098765432099,"Cluster_1"
"Eagle",5,0.000205761316872428,"Cluster_1"
"Eagle",6,0,"Cluster_1"
"Eagle",7,0,"Cluster_1"
"Rabbit",0,0.414609053497942,"Cluster_1"
"Rabbit",1,0.433127572016461,"Cluster_1"
"Rabbit",2,0.135802469135802,"Cluster_1"
"Rabbit",3,0.0160493827160494,"Cluster_1"
"Rabbit",4,0.000411522633744856,"Cluster_1"
"Rabbit",5,0,"Cluster_1"
"Rabbit",6,0,"Cluster_1"
"Rabbit",7,0,"Cluster_1"
"Dragonfly",0,0.208847736625514,"Cluster_1"
"Dragonfly",1,0.430452674897119,"Cluster_1"
"Dragonfly",2,0.262962962962963,"Cluster_1"
"Dragonfly",3,0.0775720164609053,"Cluster_1"
"Dragonfly",4,0.0187242798353909,"Cluster_1"
"Dragonfly",5,0.00123456790123457,"Cluster_1"
"Dragonfly",6,0.000205761316872428,"Cluster_1"
"Dragonfly",7,0,"Cluster_1"
"Fox",0,0.134979423868313,"Cluster_1"
"Fox",1,0.392798353909465,"Cluster_1"
"Fox",2,0.309465020576132,"Cluster_1"
"Fox",3,0.135390946502058,"Cluster_1"
"Fox",4,0.0230452674897119,"Cluster_1"
"Fox",5,0.00432098765432099,"Cluster_1"
"Fox",6,0,"Cluster_1"
"Fox",7,0,"Cluster_1"
"Deer",0,0.108024691358025,"Cluster_1"
"Deer",1,0.327777777777778,"Cluster_1"
"Deer",2,0.324691358024691,"Cluster_1"
"Deer",3,0.174279835390946,"Cluster_1"
"Deer",4,0.0520576131687243,"Cluster_1"
"Deer",5,0.011522633744856,"Cluster_1"
"Deer",6,0.00164609053497942,"Cluster_1"
"Deer",7,0,"Cluster_1"
"Stream",0,0.0265432098765432,"Cluster_1"
"Stream",1,0.139300411522634,"Cluster_1"
"Stream",2,0.281275720164609,"Cluster_1"
"Stream",3,0.289506172839506,"Cluster_1"
"Stream",4,0.180041152263374,"Cluster_1"
"Stream",5,0.06440329218107,"Cluster_1"
"Stream",6,0.0168724279835391,"Cluster_1"
"Stream",7,0.00205761316872428,"Cluster_1"
"Wolf",0,0.152057613168724,"Cluster_1"
"Wolf",1,0.407818930041152,"Cluster_1"
"Wolf",2,0.359465020576132,"Cluster_1"
"Wolf",3,0.0765432098765432,"Cluster_1"
"Wolf",4,0.00411522633744856,"Cluster_1"
"Wolf",5,0,"Cluster_1"
"Wolf",6,0,"Cluster_1"
"Wolf",7,0,"Cluster_1"
"Bear",0,0.154867973432691,"Cluster_2"
"Bear",1,0.424266969058804,"Cluster_2"
"Bear",2,0.314595820508667,"Cluster_2"
"Bear",3,0.0920136076462012,"Cluster_2"
"Bear",4,0.0136076462011988,"Cluster_2"
"Bear",5,0.000647983152438037,"Cluster_2"
"Bear",6,0,"Cluster_2"
"Bear",7,0,"Cluster_2"
"Bee",0,0.165559695447918,"Cluster_2"
"Bee",1,0.445002429936822,"Cluster_2"
"Bee",2,0.28381662076786,"Cluster_2"
"Bee",3,0.0866677466385874,"Cluster_2"
"Bee",4,0.0163615745990604,"Cluster_2"
"Bee",5,0.00259193260975215,"Cluster_2"
"Bee",6,0,"Cluster_2"
"Bee",7,0,"Cluster_2"
"Meadow",0,0.00939575571035153,"Cluster_2"
"Meadow",1,0.0754900372590313,"Cluster_2"
"Meadow",2,0.2078405961445,"Cluster_2"
"Meadow",3,0.296128300664183,"Cluster_2"
"Meadow",4,0.248015551595659,"Cluster_2"
"Meadow",5,0.121010853717803,"Cluster_2"
"Meadow",6,0.0338571197148874,"Cluster_2"
"Meadow",7,0.00826178519358497,"Cluster_2"
"Trout",0,0.119714887412927,"Cluster_2"
"Trout",1,0.429612830066418,"Cluster_2"
"Trout",2,0.312651871051353,"Cluster_2"
