"name","proportion","true_prop","cluster"
"bear",0.14501708428246,0.0923076923076923,"Cluster_1"
"bee",0.091628701594533,0.0615384615384615,"Cluster_1"
"meadow",0.13708238420653,0.153846153846154,"Cluster_1"
"trout",0.118194760820046,0.0769230769230769,"Cluster_1"
"eagle",0.045130979498861,0.0615384615384615,"Cluster_1"
"rabbit",0.0378796507213364,0.0615384615384615,"Cluster_1"
"dragonfly",0.0550588458618071,0.0615384615384615,"Cluster_1"
"fox",0.0823462414578588,0.0923076923076923,"Cluster_1"
"deer",0.0829157175398633,0.0923076923076923,"Cluster_1"
"stream",0.135307517084282,0.153846153846154,"Cluster_1"
"wolf",0.0694381169324222,0.0923076923076923,"Cluster_1"
"bear",0.0748702218027371,0.0923076923076923,"Cluster_2"
"bee",0.0619317288028944,0.0615384615384615,"Cluster_2"
"meadow",0.155372030832154,0.153846153846154,"Cluster_2"
"trout",0.0709690105395627,0.0769230769230769,"Cluster_2"
"eagle",0.0468538618845367,0.0615384615384615,"Cluster_2"
"rabbit",0.0447931414189083,0.0615384615384615,"Cluster_2"
"dragonfly",0.0619710555293377,0.0615384615384615,"Cluster_2"
"fox",0.146806669812805,0.0923076923076923,"Cluster_2"
"deer",0.129266949819097,0.0923076923076923,"Cluster_2"
"stream",0.143031304074249,0.153846153846154,"Cluster_2"
"wolf",0.0641340254837187,0.0923076923076923,"Cluster_2"
"bear",0.0725411039342337,0.0923076923076923,"Cluster_3"
"bee",0.108330886670581,0.0615384615384615,"Cluster_3"
"meadow",0.27741485613623,0.153846153846154,"Cluster_3"
"trout",0.0606209630064592,0.0769230769230769,"Cluster_3"
"eagle",0.0405167351732237,0.0615384615384615,"Cluster_3"
"rabbit",0.043371990604815,0.0615384615384615,"Cluster_3"
"dragonfly",0.0518056371109806,0.0615384615384615,"Cluster_3"
"fox",0.0750293599530241,0.0923076923076923,"Cluster_3"
"deer",0.0787507339988256,0.0923076923076923,"Cluster_3"
"stream",0.127613035819143,0.153846153846154,"Cluster_3"
"wolf",0.0640046975924839,0.0923076923076923,"Cluster_3"
"bear",0.0746647509578544,0.0923076923076923,"Cluster_4"
"bee",0.0559466794380587,0.0615384615384615,"Cluster_4"
"meadow",0.144891443167305,0.153846153846154,"Cluster_4"
"trout",0.0979007024265645,0.0769230769230769,"Cluster_4"
"eagle",0.100670498084291,0.0615384615384615,"Cluster_4"
"rabbit",0.106154214559387,0.0615384615384615,"Cluster_4"
"dragonfly",0.0560584291187739,0.0615384615384615,"Cluster_4"
"fox",0.0779134738186462,0.0923076923076923,"Cluster_4"
"deer",0.0812579821200511,0.0923076923076923,"Cluster_4"
"stream",0.134586526181354,0.153846153846154,"Cluster_4"
"wolf",0.0699553001277139,0.0923076923076923,"Cluster_4"
"bear",0.0703838349678728,0.0923076923076923,"Cluster_5"
"bee",0.0698258369969564,0.0615384615384615,"Cluster_5"
"meadow",0.168921203922895,0.153846153846154,"Cluster_5"
"trout",0.093092661481231,0.0769230769230769,"Cluster_5"
"eagle",0.0506763611768684,0.0615384615384615,"Cluster_5"
"rabbit",0.0396770375380453,0.0615384615384615,"Cluster_5"
"dragonfly",0.0588603314169767,0.0615384615384615,"Cluster_5"
"fox",0.0701301995265472,0.0923076923076923,"Cluster_5"
"deer",0.0958065607034156,0.0923076923076923,"Cluster_5"
"stream",0.134595874196821,0.153846153846154,"Cluster_5"
"wolf",0.148030098072371,0.0923076923076923,"Cluster_5"
"bear",0.0672000656491055,0.0923076923076923,"Cluster_6"
"bee",0.0551534547841786,0.0615384615384615,"Cluster_6"
"meadow",0.130822255046775,0.153846153846154,"Cluster_6"
"trout",0.0774823568028886,0.0769230769230769,"Cluster_6"
"eagle",0.0432791728212703,0.0615384615384615,"Cluster_6"
"rabbit",0.0425980633513868,0.0615384615384615,"Cluster_6"
"dragonfly",0.115526013458067,0.0615384615384615,"Cluster_6"
"fox",0.0695224027572624,0.0923076923076923,"Cluster_6"
"deer",0.0764894140817331,0.0923076923076923,"Cluster_6"
"stream",0.259067782701461,0.153846153846154,"Cluster_6"
"wolf",0.0628590185458723,0.0923076923076923,"Cluster_6"
