"ID","bear_score","bee_score","meadow_score","trout_score","eagle_score","rabbit_score","dragonfly_score","fox_score","deer_score","stream_score","wolves_score","dv_score"
1,14,6,10,2,0,2,1,3,16,1,1,12
2,6,0,3,6,6,1,8,12,4,4,1,12
5,2,18,15,4,4,1,0,3,12,1,2,12
6,6,15,15,2,4,0,0,6,14,1,1,12
7,8,12,15,0,4,1,1,3,8,1,1,12
8,2,0,0,10,22,4,2,0,8,2,3,7
10,2,6,6,0,12,3,2,9,12,1,0,12
11,8,0,6,6,8,0,2,9,12,2,1,12
12,8,6,6,6,8,0,0,6,8,3,3,12
14,6,15,6,6,4,1,5,3,0,5,2,12
15,16,0,0,14,16,1,0,3,12,1,1,7
16,2,12,10,0,0,0,3,12,8,3,2,7
17,0,9,15,6,4,1,0,12,4,3,1,12
19,2,9,15,12,4,0,0,6,4,1,3,12
20,6,0,6,8,0,2,10,3,4,5,2,12
22,10,3,0,12,14,1,0,3,14,1,1,12
23,6,18,18,2,0,1,2,6,4,2,1,12
25,0,6,6,10,2,0,20,6,4,5,1,12
26,6,12,15,0,12,1,0,3,8,3,1,12
27,8,12,6,0,8,2,1,6,4,1,3,12
28,6,6,10,6,4,1,0,6,18,1,0,12
29,12,9,6,18,14,1,0,3,0,1,1,12
30,18,0,0,8,4,1,2,3,12,2,2,12
34,0,9,15,4,0,1,1,9,18,1,1,12
36,4,0,10,18,8,1,0,6,4,3,1,12
37,10,3,3,4,6,2,2,3,8,2,3,12
38,6,6,0,0,0,0,21,3,12,7,1,3
39,0,6,10,8,0,1,18,3,8,6,1,12
40,4,6,6,2,12,1,2,6,4,2,2,12
41,4,12,10,0,4,2,4,6,4,4,1,12
42,6,0,3,12,14,1,8,9,0,4,1,12
43,2,6,10,4,12,2,4,6,4,2,2,12
44,6,6,10,2,0,3,0,9,12,1,2,12
45,4,9,6,18,0,0,0,6,4,1,3,7
46,22,9,3,4,6,0,0,3,8,1,3,12
47,10,0,6,4,10,1,8,6,0,4,1,12
48,10,6,10,6,4,1,0,9,8,3,1,12
52,16,6,3,6,12,1,0,0,8,1,3,12
53,8,3,0,8,14,0,3,6,4,3,1,12
54,16,9,6,4,6,2,4,6,0,2,1,12
55,0,12,15,10,10,0,8,0,4,4,1,7
56,0,12,3,8,10,2,0,9,4,1,3,12
57,12,0,15,8,0,1,3,3,4,3,1,12
58,8,18,6,6,10,1,6,0,8,3,0,12
59,0,12,21,4,0,1,2,3,12,2,2,12
62,10,6,0,4,0,1,4,9,8,4,2,12
63,4,12,15,0,0,1,3,3,8,3,3,12
64,4,15,10,4,2,0,8,6,4,2,1,12
65,6,6,0,10,16,1,0,3,4,1,5,12
66,6,12,0,10,0,2,2,3,8,2,3,12
67,4,12,15,4,2,0,4,3,8,2,2,12
68,20,3,6,4,14,2,0,3,8,1,0,12
69,8,0,3,10,6,1,4,6,4,4,3,12
71,2,9,15,4,0,2,4,6,12,2,1,12
72,8,3,6,0,12,2,0,6,12,1,2,12
73,10,24,0,6,8,1,2,0,4,2,1,12
74,8,6,6,14,6,0,0,3,4,1,4,12
76,4,6,6,14,12,0,0,6,4,1,3,12
77,14,3,3,4,14,2,0,6,4,2,2,12
78,2,12,15,4,2,0,3,3,8,3,2,12
79,16,9,0,4,18,1,0,6,8,1,1,12
80,2,0,10,2,4,1,6,6,16,2,1,12
81,2,9,15,0,2,1,9,3,8,3,0,12
82,12,6,6,6,6,1,0,9,12,1,1,12
83,6,0,0,10,10,2,5,6,4,5,2,12
84,6,9,15,2,8,1,2,6,4,2,2,12
85,10,12,6,14,6,1,0,3,8,1,1,12
86,0,0,10,4,12,1,0,12,12,1,2,7
