"iterations","beta","break_point","mean_start_score","mean_highest_score","sd_highest_score","max_score","score_90th_percent","score_75_plus","average_iterations","sd_iterations","type"
1500,0.3,200,29.46,65.91,8.23529604872229,85,75,11,867.4,333.611005559324,"annealing dynamic"
1500,0.3,250,29.02,64.88,8.49513229604299,83,76,12,921.26,328.646462591243,"annealing dynamic"
1500,0.3,500,28.47,62.63,9.30911902221134,80,72.1,7,1014.71,324.964125292736,"annealing dynamic"
1500,0.5,200,29.77,66.26,7.37675847893678,83,75,11,755.75,349.933251210899,"annealing dynamic"
1500,0.5,250,28.33,65.45,8.02064885659559,82,75,13,795.06,337.245371811209,"annealing dynamic"
1500,0.5,500,29.02,65.04,9.57471417407076,83,75.1,15,971.35,366.416095512336,"annealing dynamic"
1500,0.7,200,27.33,64.72,9.59069414283524,81,75.1,13,633.49,339.030390908538,"annealing dynamic"
1500,0.7,250,30.76,66.23,8.7983641730274,82,75,13,736.2,351.114071078177,"annealing dynamic"
1500,0.7,500,29.46,65.32,8.56806379363023,83,75,13,760.41,358.02863987354,"annealing dynamic"
1500,0.8,200,28.25,65.4,9.98483698900336,85,77.1,14,605.53,356.615925447572,"annealing dynamic"
1500,0.8,250,30.85,65.92,8.64645662229402,83,76,15,727.85,368.487363241519,"annealing dynamic"
1500,0.8,500,29.05,65.46,8.27118644769451,81,75,13,780.14,352.388789534938,"annealing dynamic"
1500,0.9,200,28.41,63.27,9.3946632174707,79,74,9,615.83,318.69018725801,"annealing dynamic"
1500,0.9,250,28.89,63.87,9.69187413467717,88,73,8,660.65,372.372800463799,"annealing dynamic"
1500,0.9,500,29.08,66.5,7.67061821748312,84,76,14,817.92,376.822485335662,"annealing dynamic"
2000,0.7,250,29.27,65.9,7.86181154747942,82,75,11,793.14,432.273739964188,"annealing dynamic"
2000,0.7,500,29.01,66.37,8.0674617689791,85,75,12,922.15,446.144162391893,"annealing dynamic"
2000,0.8,250,29.05,65.76,7.79422215425625,83,74.1,10,877.92,458.194076475429,"annealing dynamic"
2000,0.8,500,29.45,66.73,8.79951215360341,84,76.1,17,959.46,472.644257707035,"annealing dynamic"
2000,0.9,250,29.95,66.3,9.53197701731314,88,78,22,823.08,466.830375614055,"annealing dynamic"
2000,0.9,500,28.53,63.92,10.3256863200369,84,76,17,857.56,435.747548078662,"annealing dynamic"
500,0.5,125,27.88,62,9.00617072407086,81,74,9,339.03,102.221926822147,"annealing dynamic"
500,0.5,250,28.59,62.52,8.84830634938265,80,74,8,360.6,101.244977428737,"annealing dynamic"
500,0.8,125,29.28,64.92,7.79753910933547,84,73.1,9,312.16,103.615423367354,"annealing dynamic"
500,0.8,250,28.32,62.71,7.85897800948287,78,73.1,3,343.07,100.189240636876,"annealing dynamic"
500,0.9,125,27.21,63.46,8.52615702033182,80,72.1,8,318.28,115.746333580696,"annealing dynamic"
500,0.9,250,30.83,64.21,7.9344473371152,86,74,8,335.56,113.508983313786,"annealing dynamic"
500,0.99,125,28.79,63.09,8.15518054349318,80,73,8,320.65,117.432411250562,"annealing dynamic"
500,0.99,250,28.58,62.87,9.04718830143466,89,73.1,7,331.56,110.438091803563,"annealing dynamic"
