"","iterations","beta","break_point","mean_start_score","mean_highest_score","average_iterations","type"
"1",500,0,0,29.51,50.28,219.65,"simple"
"2",1000,0,0,30.07,52.06,451.25,"simple"
"3",2000,0,0,28.93,52.05,913.46,"simple"
"4",500,0.1,0,28.64,51.76,252.79,"annealing"
"5",1000,0.1,0,29.12,54.25,508.11,"annealing"
"6",500,0.2,0,27.73,55.22,247.77,"annealing"
"7",1000,0.2,0,28.19,55.48,444.29,"annealing"
"8",500,0.3,0,29.21,56.63,252.79,"annealing"
"9",1000,0.3,0,27.49,56.92,541.44,"annealing"
"10",500,0.4,0,27.23,58.5,265.25,"annealing"
"11",1000,0.4,0,28.37,60.76,485.35,"annealing"
"12",500,0.5,0,29.37,60.12,264.46,"annealing"
"13",1000,0.5,0,29.74,60.36,469.35,"annealing"
"14",500,0.6,0,28.54,59.86,250.65,"annealing"
"15",1000,0.6,0,28.99,61.32,482.28,"annealing"
"16",500,0.7,0,29.09,61.33,292.26,"annealing"
"17",1000,0.7,0,28.35,62.17,493.71,"annealing"
"18",500,0.8,0,29.33,61.59,274.24,"annealing"
"19",1000,0.8,0,29.99,62.93,512.37,"annealing"
"20",500,0.9,0,29.48,62.11,292.8,"annealing"
"21",1000,0.9,0,30.97,64.84,520.98,"annealing"
"22",1000,0.1,200,27.18,58.61,704.73,"annealing dynamic"
"23",1500,0.1,200,29.86,63.62,1122.74,"annealing dynamic"
"24",1000,0.1,250,31.01,58.22,743.04,"annealing dynamic"
"25",1500,0.1,250,28.34,60.96,1079.89,"annealing dynamic"
"26",1000,0.3,200,29.55,64.05,668.84,"annealing dynamic"
"27",1500,0.3,200,28.18,64.34,879.74,"annealing dynamic"
"28",1000,0.3,250,27.75,62.66,683.22,"annealing dynamic"
"29",1500,0.3,250,31.02,66.46,928.57,"annealing dynamic"
"30",1000,0.5,200,28.65,63.94,579.6,"annealing dynamic"
"31",1500,0.5,200,27.93,64.83,799.56,"annealing dynamic"
"32",1000,0.5,250,28.18,65.07,646.68,"annealing dynamic"
"33",1500,0.5,250,29.62,65.7,803.96,"annealing dynamic"
